keyword_id,date,hour_of_day,impressions,clicks,orders,spend,won_impressions,cumulative_spend,daily_budget,burn_rate_per_hour,budget_remaining,hours_to_exhaustion,predicted_exhaustion_hour,ideal_spend,spend_simulated
KW_001,2024-01-02,21,1,0,0,0.0,0,282.92,6935.03,282.92,6652.11,23.5,24.0,361.2,282.92
KW_001,2024-01-05,9,1,0,0,0.0,0,440.8,6935.03,440.8,6494.23,14.7,23.7,469.56,440.8
KW_001,2024-01-11,4,1,0,0,0.0592,1,53.84,6935.03,53.84,6881.19,24.0,24.0,72.24,53.84
KW_001,2024-01-19,7,1,0,0,0.0,0,224.88,6935.03,224.88,6710.15,24.0,24.0,288.96,224.88
KW_001,2024-01-21,11,1,0,0,0.044,1,239.66,6935.03,239.66,6695.37,24.0,24.0,325.08,239.66
KW_001,2024-01-21,17,1,0,0,0.049,1,482.09,6935.03,241.04,6452.94,24.0,24.0,361.2,242.43
KW_001,2024-01-22,5,1,0,0,0.0,0,71.75,6935.03,71.75,6863.28,24.0,24.0,108.36,71.75
KW_001,2024-01-27,18,1,0,0,0.1397,1,250.23,6935.03,250.23,6684.8,24.0,24.0,433.44,250.23
KW_001,2024-01-28,11,1,0,0,0.0541,1,282.01,6935.03,282.01,6653.02,23.6,24.0,325.08,282.01
KW_001,2024-02-04,10,1,0,0,0.0,0,327.43,6935.03,327.43,6607.6,20.2,24.0,361.2,327.43
KW_001,2024-02-06,20,1,0,0,0.0,0,417.98,6935.03,417.98,6517.05,15.6,24.0,469.56,417.98
KW_001,2024-02-10,2,1,0,0,0.0,0,71.47,6935.03,71.47,6863.56,24.0,24.0,108.36,71.47
KW_001,2024-02-10,8,1,0,0,0.0541,1,331.05,6935.03,165.52,6603.98,24.0,24.0,433.44,259.58
KW_001,2024-02-14,22,1,0,0,0.0744,1,282.08,6935.03,282.08,6652.95,23.6,24.0,288.96,282.08
KW_001,2024-02-15,19,1,0,0,0.0287,1,416.72,6935.03,416.72,6518.31,15.6,24.0,505.68,416.72
KW_001,2024-02-17,1,1,0,0,0.1016,1,129.29,6935.03,129.29,6805.74,24.0,24.0,180.6,129.29
KW_001,2024-02-19,17,1,0,0,0.0,0,234.5,6935.03,234.5,6700.53,24.0,24.0,361.2,234.5
KW_001,2024-02-22,0,1,0,0,0.0,0,235.77,6935.03,235.77,6699.26,24.0,24.0,361.2,235.77
KW_001,2024-02-22,23,1,0,0,0.0794,1,386.16,6935.03,193.08,6548.87,24.0,24.0,216.72,150.39
KW_001,2024-02-26,17,1,0,0,0.0389,1,288.58,6935.03,288.58,6646.45,23.0,24.0,361.2,288.58
KW_001,2024-02-28,21,1,0,0,0.0744,1,246.04,6935.03,246.04,6688.99,24.0,24.0,361.2,246.04
KW_001,2024-03-03,5,1,1,0,0.0,0,89.33,6935.03,89.33,6845.7,24.0,24.0,108.36,89.33
KW_001,2024-03-06,16,1,1,0,0.0642,1,190.2,6935.03,190.2,6744.83,24.0,24.0,288.96,190.2
KW_001,2024-03-12,20,1,0,0,0.054,1,375.86,6935.03,375.86,6559.17,17.5,24.0,469.56,375.86
KW_001,2024-03-15,9,1,0,0,0.0592,1,260.96,6935.03,260.96,6674.07,24.0,24.0,469.56,260.96
KW_001,2024-03-16,18,1,0,0,0.0,0,286.22,6935.03,286.22,6648.81,23.2,24.0,433.44,286.22
KW_001,2024-03-18,15,1,0,0,0.0642,1,184.27,6935.03,184.27,6750.76,24.0,24.0,252.84,184.27
KW_001,2024-03-20,7,1,0,0,0.0,0,190.27,6935.03,190.27,6744.76,24.0,24.0,288.96,190.27
KW_001,2024-03-23,7,1,0,0,0.0642,1,252.11,6935.03,252.11,6682.92,24.0,24.0,288.96,252.11
KW_001,2024-03-27,9,1,0,0,0.0,0,354.86,6935.03,354.86,6580.17,18.5,24.0,469.56,354.86
KW_001,2024-03-30,13,1,0,0,0.0,0,173.86,6935.03,173.86,6761.17,24.0,24.0,252.84,173.86
KW_002,2024-01-04,20,1,0,0,0.0,0,367.88,6235.15,367.88,5867.27,15.9,24.0,422.17,367.88
KW_002,2024-01-05,8,1,0,0,0.0911,1,233.65,6235.15,233.65,6001.5,24.0,24.0,389.7,233.65
KW_002,2024-01-06,7,1,0,0,0.0521,1,220.95,6235.15,220.95,6014.2,24.0,24.0,259.8,220.95
KW_002,2024-01-06,19,1,0,0,0.0833,1,563.84,6235.15,281.92,5671.31,20.1,24.0,454.65,342.89
KW_002,2024-01-08,16,1,0,0,0.0833,1,153.88,6235.15,153.88,6081.27,24.0,24.0,259.8,153.88
KW_002,2024-01-09,17,1,0,0,0.0,0,181.64,6235.15,181.64,6053.51,24.0,24.0,324.75,181.64
KW_002,2024-01-12,9,1,0,0,0.1136,1,342.81,6235.15,342.81,5892.34,17.2,24.0,422.17,342.81
KW_002,2024-01-14,20,1,0,0,0.0,0,358.64,6235.15,358.64,5876.51,16.4,24.0,422.17,358.64
KW_002,2024-01-15,17,1,0,0,0.0,0,300.86,6235.15,300.86,5934.29,19.7,24.0,324.75,300.86
KW_002,2024-01-17,22,1,0,0,0.1145,1,204.6,6235.15,204.6,6030.55,24.0,24.0,259.8,204.6
KW_002,2024-01-21,10,1,0,0,0.0833,1,225.36,6235.15,225.36,6009.79,24.0,24.0,324.75,225.36
KW_002,2024-01-21,20,1,0,0,0.0521,1,507.97,6235.15,253.98,5727.18,22.5,24.0,422.17,282.61
KW_002,2024-01-22,20,1,0,0,0.1223,1,312.99,6235.15,312.99,5922.16,18.9,24.0,422.17,312.99
KW_002,2024-01-23,17,1,0,0,0.0,0,229.39,6235.15,229.39,6005.76,24.0,24.0,324.75,229.39
KW_002,2024-02-03,20,1,0,0,0.0,0,255.85,6235.15,255.85,5979.3,23.4,24.0,422.17,255.85
KW_002,2024-02-04,12,1,0,0,0.1067,1,185.83,6235.15,185.83,6049.32,24.0,24.0,259.8,185.83
KW_002,2024-02-06,21,1,0,0,0.0,0,199.65,6235.15,199.65,6035.5,24.0,24.0,324.75,199.65
KW_002,2024-02-08,13,1,0,0,0.0,0,210.97,6235.15,210.97,6024.18,24.0,24.0,227.32,210.97
KW_002,2024-02-10,9,1,0,0,0.1223,1,279.02,6235.15,279.02,5956.13,21.3,24.0,422.17,279.02
KW_002,2024-02-11,7,1,0,0,0.0989,1,206.64,6235.15,206.64,6028.51,24.0,24.0,259.8,206.64
KW_002,2024-02-12,8,1,0,0,0.0989,1,303.57,6235.15,303.57,5931.58,19.5,24.0,389.7,303.57
KW_002,2024-02-12,18,1,0,0,0.0442,1,603.89,6235.15,301.94,5631.26,18.7,24.0,389.7,300.32
KW_002,2024-02-13,21,1,0,0,0.0,0,239.32,6235.15,239.32,5995.83,24.0,24.0,324.75,239.32
KW_002,2024-02-16,23,1,1,0,0.1301,1,173.33,6235.15,173.33,6061.82,24.0,24.0,194.85,173.33
KW_002,2024-02-17,11,1,0,0,0.0454,1,220.66,6235.15,220.66,6014.49,24.0,24.0,292.27,220.66
KW_002,2024-02-17,18,1,0,0,0.0599,1,466.23,6235.15,233.12,5768.92,24.0,24.0,389.7,245.57
KW_002,2024-02-21,18,1,0,0,0.0,0,350.08,6235.15,350.08,5885.07,16.8,24.0,389.7,350.08
KW_002,2024-02-24,0,1,0,0,0.0,0,283.43,6235.15,283.43,5951.72,21.0,21.0,324.75,283.43
KW_002,2024-02-24,12,1,0,0,0.0,0,539.75,6235.15,269.88,5695.4,21.1,24.0,259.8,256.32
KW_002,2024-02-25,7,1,0,0,0.0,0,268.55,6235.15,268.55,5966.6,22.2,24.0,259.8,268.55
KW_002,2024-02-25,18,1,0,0,0.0755,1,587.35,6235.15,293.68,5647.8,19.2,24.0,389.7,318.8
KW_002,2024-02-29,11,1,0,0,0.0989,1,258.31,6235.15,258.31,5976.84,23.1,24.0,292.27,258.31
KW_002,2024-02-29,18,1,0,0,0.0,0,619.87,6235.15,309.94,5615.28,18.1,24.0,389.7,361.56
KW_002,2024-03-01,1,1,0,0,0.0,0,131.53,6235.15,131.53,6103.62,24.0,24.0,162.37,131.53
KW_002,2024-03-03,1,1,0,0,0.0,0,136.06,6235.15,136.06,6099.09,24.0,24.0,162.37,136.06
KW_002,2024-03-06,0,1,0,0,0.0755,1,226.96,6235.15,226.96,6008.19,24.0,24.0,324.75,226.96
KW_002,2024-03-08,22,1,0,0,0.0,0,182.92,6235.15,182.92,6052.23,24.0,24.0,259.8,182.92
KW_002,2024-03-09,1,1,0,0,0.1067,1,110.13,6235.15,110.13,6125.02,24.0,24.0,162.37,110.13
KW_002,2024-03-09,2,1,0,0,0.0,0,176.58,6235.15,88.29,6058.57,24.0,24.0,97.42,66.45
KW_002,2024-03-10,10,1,0,0,0.1301,1,249.1,6235.15,249.1,5986.05,24.0,24.0,324.75,249.1
KW_002,2024-03-14,0,1,0,0,0.0442,1,234.67,6235.15,234.67,6000.48,24.0,24.0,324.75,234.67
KW_002,2024-03-17,17,1,0,0,0.0,0,233.18,6235.15,233.18,6001.97,24.0,24.0,324.75,233.18
KW_002,2024-03-18,8,1,0,0,0.0,0,311.51,6235.15,311.51,5923.64,19.0,24.0,389.7,311.51
KW_002,2024-03-23,19,1,0,0,0.0,0,346.72,6235.15,346.72,5888.43,17.0,24.0,454.65,346.72
KW_002,2024-03-24,0,1,0,0,0.0521,1,204.96,6235.15,204.96,6030.19,24.0,24.0,324.75,204.96
KW_002,2024-03-25,8,1,0,0,0.1301,1,325.75,6235.15,325.75,5909.4,18.1,24.0,389.7,325.75
KW_002,2024-03-25,15,1,0,0,0.0,0,490.76,6235.15,245.38,5744.39,23.4,24.0,227.32,165.01
KW_002,2024-03-25,21,1,0,0,0.0,0,717.86,6235.15,239.29,5517.29,23.1,24.0,324.75,227.1
KW_002,2024-03-27,10,1,0,0,0.1067,1,189.69,6235.15,189.69,6045.46,24.0,24.0,324.75,189.69
KW_002,2024-03-27,17,1,0,0,0.0677,1,369.05,6235.15,184.52,5866.1,24.0,24.0,324.75,179.36
KW_002,2024-03-30,18,1,0,0,0.1067,1,365.76,6235.15,365.76,5869.39,16.0,24.0,389.7,365.76
KW_003,2024-01-01,0,1,0,0,0.0,0,204.22,5854.59,204.22,5650.37,24.0,24.0,304.93,204.22
